Designator,Mid X,Mid Y,Layer,Rotation
R201,77.887005mm,51.887005mm,Top,270.0
P106,56.987005mm,40.937005mm,Top,90.0
P105,64.607005mm,40.937005mm,Top,90.0
P104,60.597005mm,40.937005mm,Top,90.0
P201,58.637005mm,52.387005mm,Top,270.0
P200,79.187005mm,53.887005mm,Top,270.0
J100,53.437005mm,31.087004999999998mm,Bottom,270.0
D100,75.78700500000001mm,30.894705mm,Bottom,0.0
D205,49.190505mm,45.630605mm,Top,270.0
D206,61.687005mm,49.087005mm,Top,0.0
D203,66.487005mm,49.087005mm,Top,0.0
D200,76.087005mm,49.087005mm,Top,0.0
D116,74.750905mm,40.287504999999996mm,Top,0.0
D115,70.51260500000001mm,40.287504999999996mm,Top,0.0
D114,74.750905mm,38.354105000000004mm,Top,0.0
D113,70.51260500000001mm,38.354105000000004mm,Top,0.0
D112,74.750905mm,36.420805mm,Top,0.0
D111,70.51260500000001mm,36.420805mm,Top,0.0
D110,74.750905mm,34.487505mm,Top,0.0
D109,70.633905mm,34.348105000000004mm,Top,0.0
D202,71.28700500000001mm,49.087005mm,Top,0.0
C143,57.487005mm,49.987004999999996mm,Top,90.0
C144,56.287005mm,49.987004999999996mm,Top,270.0
C145,55.087005000000005mm,49.987004999999996mm,Top,90.0
C146,53.887005mm,49.987004999999996mm,Top,90.0
C112,68.574805mm,40.601704999999995mm,Bottom,180.0
C111,78.887005mm,41.087005mm,Bottom,0.0
C123,53.287005mm,22.462004999999998mm,Bottom,180.0
C117,53.287005mm,21.194505mm,Bottom,180.0
C105,75.087005mm,28.687005mm,Bottom,180.0
C100,77.659505mm,28.687005mm,Bottom,0.0
C229,57.487005mm,50.892105mm,Bottom,270.0
C224,79.337005mm,52.287005mm,Top,270.0
C223,79.337005mm,48.037005mm,Top,270.0
C222,79.28700500000001mm,50.987004999999996mm,Bottom,90.0
C221,59.064305000000004mm,48.214205mm,Top,90.0
C220,59.171705mm,48.187005mm,Bottom,90.0
C225,63.686905mm,49.137005mm,Bottom,90.0
C226,62.587005000000005mm,49.137005mm,Bottom,90.0
C227,60.436905mm,49.137005mm,Bottom,90.0
C228,59.371705000000006mm,51.892105mm,Bottom,270.0
C212,68.48690500000001mm,49.137005mm,Bottom,90.0
C213,67.387005mm,49.137005mm,Bottom,90.0
C214,65.23690500000001mm,49.137005mm,Bottom,90.0
C215,64.192605mm,51.892105mm,Bottom,270.0
C200,78.086905mm,49.137005mm,Bottom,90.0
C201,76.987005mm,49.137005mm,Bottom,90.0
C202,74.836905mm,49.137005mm,Bottom,90.0
C203,73.796505mm,51.892105mm,Bottom,270.0
C195,66.23690500000001mm,43.687005mm,Bottom,90.0
C190,52.137005mm,43.837005mm,Bottom,90.0
C185,73.337005mm,43.687005mm,Bottom,90.0
C180,59.137005mm,43.687005mm,Bottom,90.0
C142,53.887005mm,52.887005mm,Bottom,90.0
C141,55.087005000000005mm,52.887005mm,Bottom,90.0
C139,56.286905000000004mm,52.887005mm,Bottom,270.0
C135,57.487005mm,52.887005mm,Bottom,90.0
C211,68.978905mm,51.892105mm,Bottom,270.0
C210,70.036905mm,49.137005mm,Bottom,90.0
C209,72.187005mm,49.137005mm,Bottom,90.0
C208,73.286905mm,49.137005mm,Bottom,90.0
C147,62.537005mm,35.478305mm,Bottom,0.0
F101,77.587005mm,22.289805mm,Bottom,270.0
R134,68.337005mm,22.787005mm,Bottom,180.0
R133,68.337005mm,21.612004999999996mm,Bottom,180.0
C133,68.187005mm,24.897005mm,Bottom,270.0
R131,61.39100500000001mm,39.543205mm,Bottom,0.0
R130,68.086905mm,34.362004999999996mm,Bottom,270.0
R129,68.086905mm,38.237004999999996mm,Bottom,270.0
Y101,65.799605mm,26.469604999999998mm,Bottom,180.0
C116,64.858405mm,27.958405mm,Bottom,0.0
C115,66.722605mm,27.944705mm,Bottom,180.0
C124,62.537005mm,36.618105mm,Bottom,180.0
R121,52.861605mm,20.110005mm,Bottom,0.0
R106,59.037005mm,21.962004999999998mm,Bottom,180.0
J101,53.687005mm,21.237004999999996mm,Top,0.0
C108,66.587005mm,24.887005mm,Bottom,180.0
R105,48.637905mm,37.505905mm,Top,180.0
R104,48.837905000000006mm,38.695904999999996mm,Top,180.0
R103,48.637905mm,39.805904999999996mm,Top,180.0
R125,48.087005000000005mm,51.367005mm,Top,90.0
C104,74.237005mm,20.287005mm,Bottom,270.0
C137,66.891805mm,40.578505mm,Top,180.0
D101,77.457505mm,26.042505mm,Bottom,0.0
C101,50.495405000000005mm,20.110005mm,Bottom,0.0
R102,78.659505mm,27.612505mm,Bottom,0.0
R101,68.086905mm,30.487005mm,Bottom,90.0
D102,48.787005mm,21.487004999999996mm,Top,270.0
Y102,63.143205mm,31.500505mm,Bottom,270.0
R122,48.787005mm,41.687005mm,Bottom,180.0
R123,51.077205000000006mm,43.711105mm,Bottom,90.0
R127,62.987005mm,25.787005mm,Bottom,0.0
R128,59.309205000000006mm,39.543205mm,Bottom,0.0
D106,70.633905mm,26.922105mm,Top,0.0
D105,70.633905mm,28.722105mm,Top,0.0
D107,64.482005mm,23.197505mm,Bottom,0.0
D104,70.633905mm,30.522105mm,Top,0.0
D103,70.633905mm,32.322105mm,Top,0.0
C140,62.987005mm,26.887005mm,Bottom,180.0
C132,65.419505mm,30.511905mm,Bottom,270.0
C136,65.419505mm,32.587104999999994mm,Bottom,90.0
C127,54.787005mm,39.543205mm,Bottom,180.0
C138,79.253105mm,23.514805mm,Bottom,270.0
C130,64.76950500000001mm,37.633505mm,Bottom,180.0
C131,54.787005mm,40.687005mm,Bottom,180.0
C122,64.76950500000001mm,35.478305mm,Bottom,0.0
C114,48.918705mm,25.687005mm,Top,180.0
C103,75.28700500000001mm,20.287005mm,Bottom,270.0
C113,48.918705mm,24.487005mm,Top,0.0
C102,75.087005mm,27.612505mm,Bottom,0.0
U105,59.377605mm,31.637005mm,Top,90.0
C601_2,5.019mm,29.17mm,Bottom,180.0
C602_2,5.019mm,30.120000000000005mm,Bottom,180.0
C603_2,2.819mm,30.120000000000005mm,Bottom,0.0
C604_2,5.019mm,31.070000000000004mm,Bottom,180.0
C605_2,3.360668mm,17.245000000000005mm,Bottom,270.0
C606_2,2.819mm,31.070000000000004mm,Bottom,180.0
C607_2,7.244mm,13.570000000000004mm,Bottom,270.0
C608_2,13.494mm,30.845000000000002mm,Bottom,90.0
C617_2,10.843627999999999mm,36.67mm,Bottom,180.0
C618_2,5.244mm,34.245064mm,Bottom,270.0
D604_2,3.069mm,34.645mm,Bottom,90.0
R602_2,8.119mm,22.345000000000002mm,Bottom,90.0
R603_2,10.119mm,23.120000000000005mm,Bottom,270.0
R604_2,2.819mm,29.17mm,Bottom,0.0
R605_2,9.119mm,23.145000000000003mm,Bottom,90.0
R606_2,8.394mm,14.545000000000002mm,Bottom,90.0
R607_2,2.294mm,17.245000000000005mm,Bottom,90.0
R608_2,9.119mm,21.245000000000005mm,Bottom,270.0
R609_2,13.469000000000001mm,28.245000000000005mm,Bottom,90.0
R610_2,5.869mm,19.17mm,Bottom,90.0
R611_2,5.869mm,17.245000000000005mm,Bottom,90.0
R612_2,4.602334mm,17.245000000000005mm,Bottom,270.0
R613_2,11.768999999999998mm,27.270000000000003mm,Bottom,0.0
R614_2,12.544mm,30.849291mm,Bottom,270.0
R615_2,12.068999999999999mm,28.795mm,Bottom,270.0
R616_2,12.044mm,13.595000000000002mm,Bottom,90.0
R618_2,10.119mm,25.870000000000005mm,Bottom,90.0
R619_2,9.119mm,25.045mm,Bottom,90.0
R620_2,8.119mm,25.045mm,Bottom,270.0
R621_2,12.979mm,36.67mm,Bottom,180.0
R622_2,12.044mm,15.545000000000002mm,Bottom,270.0
R623_2,8.119mm,26.92mm,Bottom,90.0
R624_2,14.443999999999999mm,30.845000000000002mm,Bottom,270.0
R629_2,8.832652mm,36.660000000000004mm,Bottom,0.0
R630_2,11.559000000000001mm,21.830000000000002mm,Bottom,90.0
U600_2,4.569mm,24.620000000000005mm,Bottom,180.0
U601_2,13.494mm,33.970000000000006mm,Bottom,270.0
U605_2,8.768628mm,32.470000000000006mm,Bottom,90.0
C600_2,3.194mm,22.382500000000004mm,Top,180.0
C609_2,4.619mm,30.695000000000004mm,Top,180.0
C610_2,11.169mm,36.093mm,Top,270.0
C611_2,9.269mm,21.270000000000003mm,Top,180.0
C612_2,11.169mm,21.270000000000003mm,Top,0.0
C613_2,6.644mm,35.195mm,Top,270.0
C614_2,7.144mm,21.270000000000003mm,Top,0.0
C615_2,13.943999999999999mm,31.370000000000005mm,Top,0.0
C616_2,9.1065mm,33.045mm,Top,180.0
D600_2,4.0440000000000005mm,12.670000000000002mm,Top,0.0
D601_2,2.719mm,25.445000000000004mm,Top,90.0
D602_2,2.719mm,28.42mm,Top,270.0
D603_2,13.549mm,32.952450000000006mm,Top,180.0
Q600_2,7.269mm,17.110000000000003mm,Top,0.0
Q601_2,13.943999999999999mm,17.020000000000003mm,Top,90.0
R600_2,5.093999999999999mm,21.320000000000004mm,Top,180.0
R601_2,3.194mm,21.320000000000004mm,Top,180.0
R617_2,13.943999999999999mm,22.570000000000004mm,Top,0.0
R625_2,6.619mm,33.220000000000006mm,Top,270.0
R626_2,3.194mm,23.445000000000004mm,Top,180.0
R627_2,2.7439999999999998mm,30.570000000000004mm,Top,180.0
R628_2,11.169mm,33.445mm,Top,90.0
U602_2,9.419mm,26.92mm,Top,0.0
U603_2,13.419mm,35.545mm,Top,180.0
U604_2,8.943999999999999mm,35.495000000000005mm,Top,270.0
